Country,Month,Fruit,Predicted_Status,Confidence,Is_Rotten
Brazil,April,Apple,Fresh,0.999901533126831,False
Brazil,April,Apple,Fresh,0.9990392923355104,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999998807907104,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.536019504070282,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.5961802005767822,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999998807907104,False
Brazil,April,Apple,Fresh,0.9998146891593932,False
Brazil,April,Apple,Fresh,0.9999772310256958,False
Brazil,April,Apple,Fresh,0.9997568726539612,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999995231628418,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999997615814208,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999998807907104,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9998767375946044,False
Brazil,April,Apple,Fresh,0.9997442364692688,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999986886978148,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999889135360718,False
Brazil,April,Apple,Fresh,0.9999914169311525,False
Brazil,April,Apple,Fresh,0.9999639987945556,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999994039535522,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999951124191284,False
Brazil,April,Apple,Fresh,0.9999955892562866,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999998807907104,False
Brazil,April,Apple,Fresh,0.9999997615814208,False
Brazil,April,Apple,Fresh,0.9999983310699464,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999819993972778,False
Brazil,April,Apple,Fresh,0.9999940395355223,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9990134239196776,False
Brazil,April,Apple,Fresh,0.9999998807907104,False
Brazil,April,Apple,Fresh,0.9999995231628418,False
Brazil,April,Apple,Fresh,0.9974746108055116,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9995774626731871,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9998358488082886,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.9999992847442628,False
Brazil,April,Apple,Fresh,0.9896092414855956,False
Brazil,April,Apple,Fresh,0.9999998807907104,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.99994158744812,False
Brazil,April,Apple,Fresh,0.999809205532074,False
Brazil,April,Apple,Fresh,1.0,False
Brazil,April,Apple,Fresh,0.999988317489624,False
Brazil,April,Apple,Fresh,0.9999998807907104,False
Brazil,April,Apple,Rotten,0.9999381303787231,True
Brazil,April,Apple,Rotten,0.9998083710670472,True
Brazil,April,Apple,Rotten,0.9999996423721312,True
Brazil,April,Apple,Rotten,0.9999986886978148,True
Brazil,April,Apple,Rotten,0.9999951124191284,True
Brazil,April,Apple,Rotten,0.9999873638153076,True
Brazil,April,Apple,Rotten,0.999997615814209,True
Brazil,April,Apple,Rotten,0.9999997615814208,True
Brazil,April,Apple,Rotten,0.9999865293502808,True
Brazil,April,Apple,Rotten,0.9999696016311646,True
Brazil,April,Apple,Rotten,0.9999997615814208,True
Brazil,April,Apple,Rotten,0.9999599456787108,True
Brazil,April,Apple,Rotten,0.9997149109840392,True
Brazil,April,Apple,Rotten,0.9999998807907104,True
Brazil,April,Apple,Rotten,1.0,True
Brazil,April,Apple,Rotten,0.9999929666519164,True
Brazil,April,Apple,Rotten,0.999997854232788,True
Brazil,April,Apple,Rotten,1.0,True
Brazil,April,Apple,Rotten,0.9999675750732422,True
Brazil,April,Banana,Fresh,0.9998051524162292,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,0.9999059438705444,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
Brazil,April,Banana,Fresh,1.0,False
